Rank,State,Part Group,Material Code,Material Description,Total Quantity in State,Total Sales Value in State,State Market Share (%)
176,Maharashtra,BRAKE PARTS,ZF86AB74257GM,Liner Kit STD.(I44/20),9.0,10168.119999999999,60.0
177,Assam,BRAKE PARTS,ZF86AB74477GM,AUTO ADJUSTER WITH THERMAL CLIP LH,10.0,10124.4,51.85
178,Maharashtra,BRAKE PARTS,ZF86AB77257GM,MINOR KIT W/C(J102/250),60.0,10007.82,55.69
179,Maharashtra,BRAKE PARTS,ZF043189567GM,3/C RR DIA 19.05(K28/20),26.0,9951.060000000001,100.0
180,Haryana,BRAKE PARTS,ZF04N651937TG,ROTOR_VERNA 5TH GEN (2020- NOW),8.0,9731.7,66.67
181,Tamil Nadu,BRAKE PARTS,ZF86AB73827GM,MAJOR KIT W/C RR (J55/250),50.0,9625.85,100.0
182,Orissa,EMS,ZF04N571715FP,FUEL PUMP MODULE I_10,2.0,9605.91,66.67
183,Goa,BRAKE PARTS,ZF043180047GM,"BRAKE HOSE ASSLY; FRONT, SCORPIO",39.0,9597.42,59.02
184,Maharashtra,BRAKE PARTS,ZF04N605657TB,Brake Pad_Tru Blue,14.0,9513.86,100.0
185,Tamil Nadu,BRAKE PARTS,ZF047140137GM,PIN SHOE SET,750.0,9510.8,58.73
186,Jammu and Kashmir,BRAKE PARTS,ZF04N603737TB,Brake Pad_Tru Blue,10.0,9472.45,51.23
187,Madhya Pradesh,BRAKE PARTS,ZF04N602027TB,Brake Pad_Tru Blue,8.0,9363.52,72.02
188,Gujarat,BRAKE PARTS,ZF04L962077TW,PAD  KIT,200.0,9357.4,52.63
189,Bihar,BRAKE PARTS,ZF047144907GM,BRAKE HOSE ASSY  (REAR)(370mm),50.0,9204.0,59.73
190,Orissa,BRAKE PARTS,ZF04N632127TG,ROTOR_CARENS RR,8.0,8983.1,55.55
191,Chhattisgarh,LUBES,ZF047494927GM,RADIATOR COOLANT 3 LTR.,38.0,8902.98,100.0
192,Tamil Nadu,BRAKE PARTS,ZF04N602387TB,Brake Pad_Tru Blue,6.0,8900.26,54.54
193,Karnataka,BRAKE PARTS,ZF86AB73147GM,KBX  PAD KIT,21.0,8891.07,100.0
194,Andra Pradesh,BRAKE PARTS,ZF04N543797TG,Rotor D-Max Pick_Up,4.0,8863.46,66.0
195,Maharashtra,BRAKE PARTS,ZF047156227GM,STRUT ASSY.LH,34.0,8553.580000000002,88.31
196,Assam,BRAKE PARTS,ZF043182607GM,STRUT ASSY LH,25.0,8475.36,60.98
197,Andra Pradesh,BRAKE PARTS,ZF86AB78287GM,MAJOR KIT W/C RR. (22.22 mm),20.0,8252.92,100.0
198,Orissa,BRAKE PARTS,ZF04L81966KIT,"RESERVOIR ASSY, PVPL APE-501 IAM",50.0,8191.56,72.55
199,West Bengal,BRAKE PARTS,ZF86AB77247GM,MAJOR KIT W/C(J101/100),25.0,8168.55,100.0
200,Maharashtra,EMS,ZF04N264835SS,WHEEL SPEED SENSORS,9.0,8111.05,50.0
201,Karnataka,BRAKE PARTS,ZF86AB70377GM,KIT LINING BT O/S (I30/20),26.0,8096.45,89.65
202,Maharashtra,BRAKE PARTS,ZF04L906327TW,SHOE KIT 2W,100.0,8053.5,100.0
203,Maharashtra,BRAKE PARTS,ZF047149347GM,W/C ASSLY. RR(Ø 25.4),20.0,8022.82,66.67
204,Maharashtra,BRAKE PARTS,ZF043189507GM,W/C ASSLY. FRONT DIA 25.4,21.0,8005.19,70.0
205,Chandigarh,BRAKE PARTS,ZF04L973507GM,MINOR KIT FOR CALIPER,39.0,7986.77,52.7
206,Maharashtra,BRAKE PARTS,ZF043189697GM,CALIPER ASSEMBLY (R808) RH(H31/2),2.0,7902.6,100.0
207,Assam,OTHERS,ZF04N336414RL,24V Musical Flasher,116.0,7895.62,100.0
208,West Bengal,BRAKE PARTS,ZF042146357GM,ADJUSTER LEVER LH,200.0,7831.08,52.71
209,Rajasthan,BRAKE PARTS,ZF86AB72627GM,MINOR KIT W/C FRT.(J37/250),120.0,7823.42,75.0
210,Bihar,BRAKE PARTS,ZF04L921057GM,Auto Adjuster LH,41.0,7798.860000000001,100.0
211,Kerala,BRAKE PARTS,ZF04N196317GM,SHOE KIT (Kingz_S),48.0,7795.78,50.38
212,Manipur,BRAKE PARTS,ZF04N651947TG,ROTOR_HECTOR PETROL RR,4.0,7633.18,100.0
213,Chandigarh,BRAKE PARTS,ZF043184067GM,"BOOT,PIN",120.0,7593.3,87.77
214,Rajasthan,BRAKE PARTS,ZF04N600537TC,Brake Pad_Tru Blue CERAMIC,6.0,7590.259999999999,58.85
215,Telangana,BRAKE PARTS,ZF041008687GM,Service kit; Pads Toyota 130L BEAM,4.0,7527.34,100.0
216,Himachal Pradesh,BRAKE PARTS,ZF04L808647GM,Back Plate Assy LH,10.0,7516.6,71.01
217,Maharashtra,BRAKE PARTS,ZF047144887GM,HOSE REAR BRAKE (368mm),45.0,7388.33,100.0
218,Himachal Pradesh,BRAKE PARTS,ZF04N648527TG,ROTOR_GLANZA,6.0,7354.0,50.0
219,Gujarat,BRAKE PARTS,ZF04N43147NIL,CYLINDER SET MASTER,35.0,7140.7699999999995,56.8
220,Madhya Pradesh,BRAKE PARTS,ZF043189647GM,HOSE FRONT,41.0,7032.63,70.57
221,Gujarat,EMS,ZF04N612845IC,IGNITION COIL,4.0,7013.45,100.0
222,Assam,OTHERS,ZF04N336384RL,12V UNIVERSAL FLASHER,116.0,6985.6,95.24
223,Andra Pradesh,BRAKE PARTS,ZF86AB70547GM,MAJOR KIT W/C(J28/100),25.0,6945.1900000000005,100.0
224,West Bengal,EMS,ZF04N263425FP,IN-TANK FUEL PUMP,5.0,6945.19,55.56
225,Bihar,BRAKE PARTS,ZF04L973847TG,ROTOR ( 207 DI RX),8.0,6774.910000000001,88.93
226,Maharashtra,BRAKE PARTS,ZF047480347GM,Brake Pad Kit,5.0,6711.26,55.56
227,Bihar,BRAKE PARTS,ZF047484497GM,KIT SHOE HOLD DOWN(J15/250),102.0,6680.570000000001,82.83
228,Bihar,BRAKE PARTS,ZF047126427GM,D/Br.assly LH ( LTV),3.0,6518.73,75.0
229,Maharashtra,LUBES,ZF04N66474AST,4W ENGINE OIL (5W30) (1 ltr),30.0,6405.64,50.0
